Country,Total value (USD millions)
Algeria,9
Angola,42638.15815
Benin ,535.1500639
Botswana,952.4619625
Burkina Faso,157.35
Burundi,127.6108047
Cameroon,6192.237712
Cape Verde,48.18671357
Central African Republic,103.7546561
Chad,769.7201212
Comoros,122.7307628
Ivory Coast,3651.856325
Djibouti,1486.016689
Democratic Republic of the Congo,2328.634278
Egypt,7871.655115
Equatorial Guinea,2951.437541
Eritrea,631.6726383
Ethiopia,13698.02973
Gabon,1684.98601
Ghana,5266.603202
Guinea,2695.613319
Kenya,9272.099791
Lesotho,252.0616222
Liberia,55
Madagascar,467.2343552
Malawi,264.1999745
Mali,730.9400816
Mauritania,657.4228821
Mauritius,629.5202477
Morocco,1244.948598
Mozambique,2394.67432
Namibia,499.5578973
Niger,699.2174463
Nigeria,7265.975228
Republic of Congo,5387.189252
Rwanda,627.3222936
Senegal,1998.498793
Seychelles,34.24120917
Sierra Leone,751.9067342
South Africa,5488.752412
South Sudan,406.8
Sudan,4792.79393
Tanzania,2079.747004
Gambia,25
Togo,686.2543701
Tunisia,131.7728035
Uganda,3586.505812
Zambia,10064.668
Zimbabwe,3016.684056
Libya,0
