Date,World,Totals,Totals2,Proportional Lending
2022,103867.109,1.09024E+11,109.0238196,0.104964719
2021,96292.574,1.04029E+11,104.0293757,0.108034682
2020,85238.623,1.0589E+11,105.890447,0.124228247
2019,87536.338,73536345315,73.53634532,0.08400665
2018,86084.955,61821792421,61.82179242,0.071814863
2017,80945.405,46107666542,46.10766654,0.056961438
2016,76267.375,55750278788,55.75027879,0.073098463
2015,75042.63,57333751899,57.3337519,0.076401576
2014,79321.72,75334319046,75.33431905,0.094973128
2013,77290.82,90073641743,90.07364174,0.116538603
2012,75116.959,95808640755,95.80864076,0.127545952
2011,73747.749,92585525384,92.58552538,0.125543527
2010,66435.818,60439448644,60.43944864,0.090974192
2009,60731.151,42300847722,42.30084772,0.069652636
2008,64108.44,21487336753,21.48733675,0.033517173
2007,58443.072,9833092338,9.833092338,0.016825078
2006,51762.962,13666660759,13.66666076,0.026402393
2005,47792.249,34714264905,34.71426491,0.072635763
2004,44116.922,62139796027,62.13979603,0.140852519
2003,39193.343,71912955980,71.91295598,0.183482578
2002,34900.086,70469729806,70.46972981,0.201918499
2001,33788.307,59901804093,59.90180409,0.177285604
2000,34039.874,49322126517,49.32212652,0.14489515
1999,32949.687,57496136237,57.49613624,0.17449676
1998,31824.477,66739842976,66.73984298,0.209712301
1997,31979.647,52568901205,52.56890121,0.164382369
1996,32068.872,42009082557,42.00908256,0.130996446
1995,31199.71,41586611940,41.58661194,0.133291662
1994,27985.29,30211445450,30.21144545,0.107954734
1993,26039.542,29139537930,29.13953793,0.111904956
1992,25328.261,27771636514,27.77163651,0.109646835
1991,24492.481,26664291722,26.66429172,0.108867255
1990,23654.018,23303762710,23.30376271,0.098519257
1989,20122.142,24649990786,24.64999079,0.122501823
1988,19125.335,26523969177,26.52396918,0.138684991
1987,17008.945,30618322055,30.61832206,0.180013058
1986,14771.979,35348075575,35.34807558,0.239291401
1985,12523.328,37665035197,37.6650352,0.300758993
1984,11997.41,37706647293,37.70664729,0.314289895
