Country,Year,Value
United Kingdom,1990,..
United Kingdom,1991,35.9
United Kingdom,1992,..
United Kingdom,1993,..
United Kingdom,1994,36
United Kingdom,1995,35.5
United Kingdom,1996,35.3
United Kingdom,1997,35.7
United Kingdom,1998,36.6
United Kingdom,1999,36.8
United Kingdom,2000,39.6
United Kingdom,2001,37.9
United Kingdom,2002,35.7
United Kingdom,2003,35.5
United Kingdom,2004,36
United Kingdom,2005,34.3
United Kingdom,2006,34.6
United Kingdom,2007,35.7
United Kingdom,2008,34.1
United Kingdom,2009,34.3
United Kingdom,2010,34.4
United Kingdom,2011,33.2
United Kingdom,2012,32.3
United Kingdom,2013,33.2
United Kingdom,2014,34
United Kingdom,2015,33.2
United Kingdom,2016,34.8
United Kingdom,2017,35.1
United Kingdom,2018,..
United Kingdom,2019,..
United Kingdom,2020,..
United Kingdom,2021,..
