Country,Year,Value
United States,1990,..
United States,1991,38
United States,1992,38.4
United States,1993,40.4
United States,1994,40
United States,1995,39.9
United States,1996,40.3
United States,1997,40.5
United States,1998,40
United States,1999,40
United States,2000,40.1
United States,2001,40.6
United States,2002,40.4
United States,2003,40.8
United States,2004,40.3
United States,2005,41
United States,2006,41.4
United States,2007,40.8
United States,2008,40.8
United States,2009,40.6
United States,2010,40
United States,2011,40.9
United States,2012,40.9
United States,2013,40.7
United States,2014,41.5
United States,2015,41.2
United States,2016,41.1
United States,2017,41.2
United States,2018,41.4
United States,2019,41.5
United States,2020,..
United States,2021,..
