Country,Percentile,Year,Share
USA,p90p100,1970,0.3354
USA,p90p100,1971,0.3409
USA,p90p100,1972,0.3441
USA,p90p100,1973,0.3462
USA,p90p100,1974,0.3356
USA,p90p100,1975,0.3396
USA,p90p100,1976,0.3388
USA,p90p100,1977,0.3429
USA,p90p100,1978,0.3401
USA,p90p100,1979,0.343
USA,p90p100,1980,0.3385
USA,p90p100,1981,0.3432
USA,p90p100,1982,0.3461
USA,p90p100,1983,0.3534
USA,p90p100,1984,0.3649
USA,p90p100,1985,0.3658
USA,p90p100,1986,0.3634
USA,p90p100,1987,0.3746
USA,p90p100,1988,0.3925
USA,p90p100,1989,0.3879
USA,p90p100,1990,0.3876
USA,p90p100,1991,0.3833
USA,p90p100,1992,0.3943
USA,p90p100,1993,0.3909
USA,p90p100,1994,0.3915
USA,p90p100,1995,0.399
USA,p90p100,1996,0.408
USA,p90p100,1997,0.4152
USA,p90p100,1998,0.4191
USA,p90p100,1999,0.4228
USA,p90p100,2000,0.4275
USA,p90p100,2001,0.4195
USA,p90p100,2002,0.4151
USA,p90p100,2003,0.4164
USA,p90p100,2004,0.4243
USA,p90p100,2005,0.4358
USA,p90p100,2006,0.443
USA,p90p100,2007,0.4402
USA,p90p100,2008,0.4355
USA,p90p100,2009,0.4245
USA,p90p100,2010,0.4387
USA,p90p100,2011,0.4426
USA,p90p100,2012,0.4557
USA,p90p100,2013,0.4491
USA,p90p100,2014,0.4559
USA,p90p100,2015,0.4551
USA,p90p100,2016,0.4532
USA,p90p100,2017,0.4546
USA,p90p100,2018,0.4583
USA,p90p100,2019,0.4569
USA,p90p100,2020,0.4441
USA,p90p100,2021,0.456
USA,p0p50,1970,0.2113
USA,p0p50,1971,0.2043
USA,p0p50,1972,0.2021
USA,p0p50,1973,0.2044
USA,p0p50,1974,0.2098
USA,p0p50,1975,0.2042
USA,p0p50,1976,0.2054
USA,p0p50,1977,0.2026
USA,p0p50,1978,0.2023
USA,p0p50,1979,0.2035
USA,p0p50,1980,0.2009
USA,p0p50,1981,0.197
USA,p0p50,1982,0.1913
USA,p0p50,1983,0.1834
USA,p0p50,1984,0.1795
USA,p0p50,1985,0.1782
USA,p0p50,1986,0.1761
USA,p0p50,1987,0.1736
USA,p0p50,1988,0.1687
USA,p0p50,1989,0.1698
USA,p0p50,1990,0.1686
USA,p0p50,1991,0.1671
USA,p0p50,1992,0.1599
USA,p0p50,1993,0.1612
USA,p0p50,1994,0.1613
USA,p0p50,1995,0.1575
USA,p0p50,1996,0.1549
USA,p0p50,1997,0.1526
USA,p0p50,1998,0.1528
USA,p0p50,1999,0.1518
USA,p0p50,2000,0.1507
USA,p0p50,2001,0.1528
USA,p0p50,2002,0.1538
USA,p0p50,2003,0.1508
USA,p0p50,2004,0.148
USA,p0p50,2005,0.1436
USA,p0p50,2006,0.1406
USA,p0p50,2007,0.1433
USA,p0p50,2008,0.1431
USA,p0p50,2009,0.1426
USA,p0p50,2010,0.1382
USA,p0p50,2011,0.1354
USA,p0p50,2012,0.1316
USA,p0p50,2013,0.1344
USA,p0p50,2014,0.1312
USA,p0p50,2015,0.1318
USA,p0p50,2016,0.1303
USA,p0p50,2017,0.1346
USA,p0p50,2018,0.1332
USA,p0p50,2019,0.1357
USA,p0p50,2020,0.1386
USA,p0p50,2021,0.1382
