Country ,GDP growth 2020 (annual %),FDI net inflows 2017 (% of GDP)
Angola,-5.500000003,-10.72495142
Benin,3.8487924,1.581705088
Botswana,-8.726410346,1.619642221
Burkina Faso,1.93032489,0.018237033
Burundi,0.327156893,0.011667981
Cabo Verde,-14.78340501,6.312150566
Cameroon,0.491914742,2.256209564
Central African Republic,0.899999997,0.33241255
Chad,-1.600006737,3.633672746
Comoros,-0.293049624,0.363776568
"Congo, Dem. Rep.",1.735422764,2.756443254
"Congo, Rep.",-6.239319632,39.81094123
Cote d'Ivoire,1.958332479,1.889997672
Equatorial Guinea,-4.241478166,2.498397077
Eswatini,-1.85052471,-1.309289037
Ethiopia,6.059530886,4.912707176
Gabon,-1.83776093,8.801569497
"Gambia, The",-0.201822911,4.275240817
Ghana,0.513941648,5.388486852
Guinea,4.637277536,5.594271749
Guinea-Bissau,-2.399999999,1.162158478
Kenya,-0.250155705,1.640851105
Lesotho,-7.556733624,1.828508013
Liberia,-2.98249215,7.309485784
Madagascar,-7.14061,3.52797151
Malawi,0.799998331,1.008548773
Mali,-1.235450447,3.649342287
Mauritania,-1.763321794,8.650079911
Mauritius,-14.89467567,3.620055575
Mozambique,-1.233905711,17.54336958
Namibia,-7.865936625,2.175057338
Niger,3.580006403,3.028230749
Nigeria,-1.794253082,0.64218166
Rwanda,-3.35885332,2.961535753
Sao Tome and Principe,3.089725555,9.107348911
Senegal,1.325505141,2.801853565
Seychelles,-7.723517801,7.910467704
Sierra Leone,-1.96894782,11.12351219
Somalia,2.440210973,6.578712783
South Africa,-6.431974826,0.539673957
Sudan,-3.629805626,0.821243068
Tanzania,1.996343506,1.758606511
Togo,1.752824967,1.384709237
Uganda,2.951306422,2.610889174
Zambia,-2.785055065,4.280501171
Zimbabwe,-6.248748224,1.746884527
