Year,Age ,Sex,People ,
1990,0,1,67417778,
1991,0,1,67456536,
1992,0,1,64815978,
1993,0,1,62637143,
1994,0,1,60117633,
1995,0,1,55440265,
1996,0,1,53989806,
1997,0,1,52545669,
1998,0,1,51021011,
1999,0,1,49138232,
2000,0,1,47059675,
2001,0,1,45164849,
2002,0,1,43613910,
2003,0,1,42285665,
2004,0,1,41305413,
2005,0,1,40776351,
2006,0,1,40550099,
2007,0,1,40705696,
2008,0,1,41336288,
2009,0,1,42108016,
2010,0,1,42772118,
2011,0,1,43362024,
2012,0,1,44123689,
2013,0,1,44372755,
2014,0,1,44224229,
2015,0,1,43669420,
2016,0,1,43408099,
2017,0,1,43530187,
2018,0,1,43119707,
2019,0,1,42348353,
2020,0,1,41207975,
2021,0,1,39854242,
2022,0,1,38184484,
2023,0,1,36864209,
2024,0,1,36252739,
2025,0,1,36317407,
2026,0,1,36025105,
2027,0,1,35193250,
2028,0,1,34570023,
2029,0,1,33730242,
2030,0,1,32828424,
2031,0,1,32129709,
2032,0,1,31495129,
2033,0,1,30942568,
2034,0,1,30472666,
2035,0,1,30098639,
2036,0,1,29806771,
2037,0,1,29583403,
2038,0,1,29423135,
2039,0,1,29309853,
2040,0,1,29233919,
2041,0,1,29182085,
2042,0,1,29140700,
2043,0,1,29097326,
2044,0,1,29046368,
2045,0,1,28991358,
2046,0,1,28924317,
2047,0,1,28820663,
2048,0,1,28671685,
2049,0,1,28488063,
2050,0,1,28283570,
2051,0,1,28055368,
2052,0,1,27781287,
2053,0,1,27460808,
2054,0,1,27109044,
2055,0,1,26737775,
2056,0,1,26362593,
2057,0,1,25992803,
2058,0,1,25631828,
2059,0,1,25279478,
2060,0,1,24930743,
2061,0,1,24589728,
2062,0,1,24271211,
2063,0,1,23980837,
2064,0,1,23714023,
2065,0,1,23465827,
2066,0,1,23234413,
2067,0,1,23025097,
2068,0,1,22838589,
2069,0,1,22671224,
2070,0,1,22520984,
2071,0,1,22384297,
2072,0,1,22258400,
2073,0,1,22139648,
2074,0,1,22023397,
2075,0,1,21905953,
2076,0,1,21784085,
2077,0,1,21655670,
2078,0,1,21518872,
2079,0,1,21372168,
2080,0,1,21214587,
2081,0,1,21045346,
2082,0,1,20864678,
2083,0,1,20673884,
2084,0,1,20474458,
2085,0,1,20267516,
2086,0,1,20054067,
2087,0,1,19835981,
2088,0,1,19616000,
2089,0,1,19396672,
2090,0,1,19179894,
2091,0,1,18967013,
2092,0,1,18759345,
2093,0,1,18558306,
2094,0,1,18365035,
2095,0,1,18180303,
2096,0,1,18004491,
2097,0,1,17837483,
2098,0,1,17678781,
2099,0,1,17527711,
2100,0,1,17383597,
1990,5,1,53732061,
1991,5,1,55666587,
1992,5,1,56685503,
1993,5,1,59036131,
1994,5,1,61958764,
1995,5,1,66869650,
1996,5,1,66948158,
1997,5,1,64348117,
1998,5,1,62200070,
1999,5,1,59706384,
2000,5,1,55057255,
2001,5,1,53624826,
2002,5,1,52201793,
2003,5,1,50701603,
2004,5,1,48848212,
2005,5,1,46803093,
2006,5,1,44940512,
2007,5,1,43416624,
2008,5,1,42111103,
2009,5,1,41149533,
2010,5,1,40635731,
2011,5,1,40422378,
2012,5,1,40588352,
2013,5,1,41227074,
2014,5,1,42005827,
2015,5,1,42676213,
2016,5,1,43271688,
2017,5,1,44038106,
2018,5,1,44292374,
2019,5,1,44149168,
2020,5,1,43599776,
2021,5,1,43342770,
2022,5,1,43467744,
2023,5,1,43060210,
2024,5,1,42291684,
2025,5,1,41153752,
2026,5,1,39801980,
2027,5,1,38134927,
2028,5,1,36817432,
2029,5,1,36207709,
2030,5,1,36273480,
2031,5,1,35982638,
2032,5,1,35152601,
2033,5,1,34530936,
2034,5,1,33692798,
2035,5,1,32792563,
2036,5,1,32095195,
2037,5,1,31461843,
2038,5,1,30910389,
2039,5,1,30441487,
2040,5,1,30068351,
2041,5,1,29777281,
2042,5,1,29554627,
2043,5,1,29395000,
2044,5,1,29282307,
2045,5,1,29206926,
2046,5,1,29155617,
2047,5,1,29114729,
2048,5,1,29071842,
2049,5,1,29021369,
2050,5,1,28966835,
2051,5,1,28900271,
2052,5,1,28797108,
2053,5,1,28648638,
2054,5,1,28465527,
2055,5,1,28261545,
2056,5,1,28033857,
2057,5,1,27760307,
2058,5,1,27440369,
2059,5,1,27089148,
2060,5,1,26718409,
2061,5,1,26343741,
2062,5,1,25974446,
2063,5,1,25613952,
2064,5,1,25262061,
2065,5,1,24913768,
2066,5,1,24573173,
2067,5,1,24255053,
2068,5,1,23965051,
2069,5,1,23698589,
2070,5,1,23450722,
2071,5,1,23219621,
2072,5,1,23010597,
2073,5,1,22824365,
2074,5,1,22657258,
2075,5,1,22507263,
2076,5,1,22370807,
2077,5,1,22245133,
2078,5,1,22126594,
2079,5,1,22010548,
2080,5,1,21893307,
2081,5,1,21771638,
2082,5,1,21643419,
2083,5,1,21506815,
2084,5,1,21360305,
2085,5,1,21202916,
2086,5,1,21033863,
2087,5,1,20853385,
2088,5,1,20662778,
2089,5,1,20463540,
2090,5,1,20256779,
2091,5,1,20043511,
2092,5,1,19825603,
2093,5,1,19605793,
2094,5,1,19386633,
2095,5,1,19170017,
2096,5,1,18957292,
2097,5,1,18749773,
2098,5,1,18548876,
2099,5,1,18355745,
2100,5,1,18171145,
1990,10,1,50183593,
1991,10,1,49237757,
1992,10,1,51880845,
1993,10,1,52734457,
1994,10,1,53123796,
1995,10,1,53571556,
1996,10,1,55505558,
1997,10,1,56525132,
1998,10,1,58874737,
1999,10,1,61795254,
2000,10,1,66698939,
2001,10,1,66783513,
2002,10,1,64194576,
2003,10,1,62056299,
2004,10,1,59572821,
2005,10,1,54937681,
2006,10,1,53512920,
2007,10,1,52097151,
2008,10,1,50603925,
2009,10,1,48757663,
2010,10,1,46719548,
2011,10,1,44863237,
2012,10,1,43344674,
2013,10,1,42043794,
2014,10,1,41086054,
2015,10,1,40575198,
2016,10,1,40364292,
2017,10,1,40532236,
2018,10,1,41172314,
2019,10,1,41952149,
2020,10,1,42623714,
2021,10,1,43220275,
2022,10,1,43986977,
2023,10,1,44241755,
2024,10,1,44099688,
2025,10,1,43551696,
2026,10,1,43295639,
2027,10,1,43421745,
2028,10,1,43016065,
2029,10,1,42249463,
2030,10,1,41113584,
2031,10,1,39764004,
2032,10,1,38099394,
2033,10,1,36783890,
2034,10,1,36175461,
2035,10,1,36241883,
2036,10,1,35951924,
2037,10,1,35123175,
2038,10,1,34502588,
2039,10,1,33665654,
2040,10,1,32766632,
2041,10,1,32070284,
2042,10,1,31437873,
2043,10,1,30887275,
2044,10,1,30419147,
2045,10,1,30046695,
2046,10,1,29756237,
2047,10,1,29534134,
2048,10,1,29375005,
2049,10,1,29262767,
2050,10,1,29187808,
2051,10,1,29136893,
2052,10,1,29096384,
2053,10,1,29053865,
2054,10,1,29003755,
2055,10,1,28949575,
2056,10,1,28883359,
2057,10,1,28780553,
2058,10,1,28632449,
2059,10,1,28449709,
2060,10,1,28246095,
2061,10,1,28018776,
2062,10,1,27745603,
2063,10,1,27426044,
2064,10,1,27075210,
2065,10,1,26704848,
2066,10,1,26330546,
2067,10,1,25961606,
2068,10,1,25601451,
2069,10,1,25249884,
2070,10,1,24901903,
2071,10,1,24561607,
2072,10,1,24243769,
2073,10,1,23954031,
2074,10,1,23687816,
2075,10,1,23440183,
2076,10,1,23209303,
2077,10,1,23000484,
2078,10,1,22814446,
2079,10,1,22647526,
2080,10,1,22497701,
2081,10,1,22361408,
2082,10,1,22235887,
2083,10,1,22117496,
2084,10,1,22001594,
2085,10,1,21884492,
2086,10,1,21762961,
2087,10,1,21634877,
2088,10,1,21498406,
2089,10,1,21352028,
2090,10,1,21194768,
2091,10,1,21025845,
2092,10,1,20845493,
2093,10,1,20655015,
2094,10,1,20455902,
2095,10,1,20249262,
2096,10,1,20036116,
2097,10,1,19818328,
2098,10,1,19598635,
2099,10,1,19379586,
2100,10,1,19163079,
1990,15,1,62354152,
1991,15,1,59065216,
1992,15,1,56157256,
1993,15,1,53228758,
1994,15,1,51122271,
1995,15,1,49925119,
1996,15,1,48982964,
1997,15,1,51619113,
1998,15,1,52467716,
1999,15,1,52851331,
2000,15,1,53291441,
2001,15,1,55215582,
2002,15,1,56238158,
2003,15,1,58586649,
2004,15,1,61506238,
2005,15,1,66405445,
2006,15,1,66496000,
2007,15,1,63922368,
2008,15,1,61797621,
2009,15,1,59329274,
2010,15,1,54716790,
2011,15,1,53303363,
2012,15,1,51897955,
2013,15,1,50414810,
2014,15,1,48579247,
2015,15,1,46551853,
2016,15,1,44704963,
2017,15,1,43194204,
2018,15,1,41900180,
2019,15,1,40948386,
2020,15,1,40452708,
2021,15,1,40261923,
2022,15,1,40435710,
2023,15,1,41071246,
2024,15,1,41845750,
2025,15,1,42511334,
2026,15,1,43105191,
2027,15,1,43872919,
2028,15,1,44129780,
2029,15,1,43990012,
2030,15,1,43444614,
2031,15,1,43190761,
2032,15,1,43318888,
2033,15,1,42915455,
2034,15,1,42151155,
2035,15,1,41017579,
2036,15,1,39670755,
2037,15,1,38009831,
2038,15,1,36697286,
2039,15,1,36090841,
2040,15,1,36158161,
2041,15,1,35869367,
2042,15,1,35042469,
2043,15,1,34423379,
2044,15,1,33588179,
2045,15,1,32690912,
2046,15,1,31996019,
2047,15,1,31364963,
2048,15,1,30815605,
2049,15,1,30348603,
2050,15,1,29977141,
2051,15,1,29687564,
2052,15,1,29466257,
2053,15,1,29307853,
2054,15,1,29196279,
2055,15,1,29121928,
2056,15,1,29071575,
2057,15,1,29031604,
2058,15,1,28989614,
2059,15,1,28940021,
2060,15,1,28886341,
2061,15,1,28820613,
2062,15,1,28718300,
2063,15,1,28570706,
2064,15,1,28388476,
2065,15,1,28185375,
2066,15,1,27958564,
2067,15,1,27685901,
2068,15,1,27366861,
2069,15,1,27016545,
2070,15,1,26646701,
2071,15,1,26272905,
2072,15,1,25904447,
2073,15,1,25544752,
2074,15,1,25193621,
2075,15,1,24846064,
2076,15,1,24506179,
2077,15,1,24188726,
2078,15,1,23899344,
2079,15,1,23633462,
2080,15,1,23386147,
2081,15,1,23155566,
2082,15,1,22947031,
2083,15,1,22761257,
2084,15,1,22594581,
2085,15,1,22444990,
2086,15,1,22308916,
2087,15,1,22183603,
2088,15,1,22065412,
2089,15,1,21949702,
2090,15,1,21832785,
2091,15,1,21711437,
2092,15,1,21583531,
2093,15,1,21447236,
2094,15,1,21301030,
2095,15,1,21143944,
2096,15,1,20975189,
2097,15,1,20795007,
2098,15,1,20604694,
2099,15,1,20405746,
2100,15,1,20199266,
1990,20,1,65745940,
1991,20,1,66341543,
1992,20,1,67101848,
1993,20,1,66682770,
1994,20,1,64413081,
1995,20,1,61830834,
1996,20,1,58559987,
1997,20,1,55666756,
1998,20,1,52750993,
1999,20,1,50649366,
2000,20,1,49448547,
2001,20,1,48501348,
2002,20,1,51119979,
2003,20,1,51963386,
2004,20,1,52350303,
2005,20,1,52799655,
2006,20,1,54729704,
2007,20,1,55765307,
2008,20,1,58118984,
2009,20,1,61041043,
2010,20,1,65935216,
2011,20,1,66038480,
2012,20,1,63490167,
2013,20,1,61388791,
2014,20,1,58945497,
2015,20,1,54366770,
2016,20,1,52971114,
2017,20,1,51580171,
2018,20,1,50109370,
2019,20,1,48285644,
2020,20,1,46283780,
2021,20,1,44473695,
2022,20,1,42984673,
2023,20,1,41699853,
2024,20,1,40756415,
2025,20,1,40257186,
2026,20,1,40052933,
2027,20,1,40222310,
2028,20,1,40860628,
2029,20,1,41636984,
2030,20,1,42304411,
2031,20,1,42900049,
2032,20,1,43669131,
2033,20,1,43928414,
2034,20,1,43791712,
2035,20,1,43249950,
2036,20,1,42999118,
2037,20,1,43129897,
2038,20,1,42729727,
2039,20,1,41968974,
2040,20,1,40839154,
2041,20,1,39496655,
2042,20,1,37841151,
2043,20,1,36532999,
2044,20,1,35929496,
2045,20,1,35998246,
2046,20,1,35711314,
2047,20,1,34887230,
2048,20,1,34270450,
2049,20,1,33437878,
2050,20,1,32543258,
2051,20,1,31850571,
2052,20,1,31221559,
2053,20,1,30674069,
2054,20,1,30208760,
2055,20,1,29838794,
2056,20,1,29550543,
2057,20,1,29330439,
2058,20,1,29173126,
2059,20,1,29062551,
2060,20,1,28989119,
2061,20,1,28939616,
2062,20,1,28900458,
2063,20,1,28859265,
2064,20,1,28810453,
2065,20,1,28757525,
2066,20,1,28692536,
2067,20,1,28590970,
2068,20,1,28444141,
2069,20,1,28262684,
2070,20,1,28060349,
2071,20,1,27834299,
2072,20,1,27562409,
2073,20,1,27244146,
2074,20,1,26894610,
2075,20,1,26525535,
2076,20,1,26152492,
2077,20,1,25784754,
2078,20,1,25425747,
2079,20,1,25075268,
2080,20,1,24728342,
