Country ,GDP per capita (current US$),CO2 emissions (metric tons per capita),"Fertility rate, total (births per woman)"
Argentina,10076.35524,3.740650291,2.247
Australia,54875.28596,15.23826715,1.657
Brazil,8876.059836,2.057810839,1.719
China,10143.8382,7.605936961,1.696
France,40578.64429,4.468770089,1.86
Germany,46794.89929,7.911621016,1.54
India,2072.244897,1.797620119,2.202
Indonesia,4135.233344,2.290397148,2.288
Italy,33673.47545,5.311315442,1.27
Japan,40458.00188,8.540980205,1.36
"Korea, Rep.",31902.4169,11.79932538,0.918
Mexico,9950.217622,3.521600048,2.103
Netherlands,52476.27325,8.437074627,1.57
Russian Federation,11536.25098,11.79720293,1.504
Saudi Arabia,23450.56202,15.28457873,2.275
Spain,29554.49052,5.09135092,1.23
Switzerland,85334.51946,4.359041462,1.48
Turkiye,9121.515167,4.75658475,2.055
United Kingdom,43070.49836,5.220514488,1.63
United States,65094.79943,14.67341061,1.706
