Country,Life expectancy,GDP per capita,Current account balance
Afghanistan,60.76,592.4765375,-4192816423
Albania,76.404,3952.802538,-979825099.4
Algeria,74.456,4197.421361,-27037635153
Angola,58.213,3100.830685,-10272841903
Antigua and Barbuda,75.148,14861.88271,29558778.17
Argentina,73.294,13789.06042,-17621985168
Armenia,69.595,3666.141876,-280909482.7
Aruba,72.569,28421.38649,110690101.7
Australia,80.4,56710.44572,-56958711795
Austria,78.8,44195.81759,6634070795
Azerbaijan,68.081,5500.310382,-222495000
"Bahamas, The",69.76,30206.24043,-1203165343
Bahrain,78.342,22795.44886,-752110737.1
Bangladesh,68.498,1236.00506,2579621009
Barbados,74.54,16990.21947,-98732451.68
Belarus,68.6,5967.052204,-1831100000
Belgium,78.7,41008.29672,6363243452
Belize,70.357,6142.478833,-174735548.4
Benin,58.058,1041.652523,-679200532.3
Bermuda,77.3,102005.6256,942896167.1
Bhutan,68.875,2695.638773,-548326099.4
Bolivia,64.9,2975.648811,-1936209393
Bosnia and Herzegovina,74.18,4599.901029,-826025436.5
Botswana,61.262,5869.732943,301219213.7
Brazil,71.124,8783.225984,-54789099328
Brunei Darussalam,72.714,30681.67944,2156649812
Bulgaria,71.2,7074.681023,-123190000
Burkina Faso,57.184,632.1266837,-895400077.2
Burundi,58.226,289.3596333,-373243823.1
Cabo Verde,70.082,2891.884482,-50593257.5
Cambodia,67.586,1170.742816,-1598447754
Cameroon,58.127,1399.675331,-1173691255
Canada,79.9,43596.13554,-54695520050
Chile,77.035,13569.9478,-6631182622
China,74.379,8016.431435,2.93022E+11
Colombia,73.252,6228.426299,-18702227285
Comoros,60.811,1322.936695,-2477534.17
"Congo, Dem. Rep.",56.737,482.0645483,-1483759412
"Congo, Rep.",62.137,2347.818499,-4630571434
Costa Rica,76.698,11529.95453,-1921262983
Cote d'Ivoire,56.677,1941.566336,-201372902.1
Croatia,74.3,11952.31118,1644299623
Curacao,75.1,19260.26985,-519340782.1
Cyprus,79.051,23487.125,-83510340.24
Czechia,75.7,17829.69832,845256960.8
Denmark,78.8,53254.85637,24953251921
Djibouti,59.695,2409.311902,714224636.4
Dominican Republic,69.828,6838.936594,-1280300000
Ecuador,74.391,6130.586676,-2221086837
"Egypt, Arab Rep.",67.967,3370.382447,-17243300000
El Salvador,66.834,3761.51368,-753757240.4
Estonia,73.2,17402.03761,403274473.8
Eswatini,52.062,3583.31129,533323971
Ethiopia,61.126,630.3126821,-7566576583
Fiji,64.915,5105.262627,-162622253.6
Finland,78.7,42801.90812,-2209431644
France,79.2,36652.92231,-9130436717
French Polynesia,79.99,18252.51997,291181532.2
Gabon,63.357,7090.45461,140995975
"Gambia, The",61.403,611.6713342,-53780318.63
Georgia,68.477,4014.185944,-1767022015
Germany,78.3,41103.25644,2.88621E+11
Ghana,61.379,1711.290666,-2823640338
Greece,78.5,18083.87791,-1611391808
Grenada,72.219,8379.621847,-124694001.5
Guatemala,69.075,3994.636913,-773787480
Guinea,56.874,756.4255941,-1020197641
Guinea-Bissau,56.925,585.9570106,20941855.29
Guyana,64.98,5668.429765,-38822257.59
Haiti,60.617,1404.155214,-270775987.5
Honduras,70.15,2257.222712,-979945387
"Hong Kong SAR, China",81.4,42431.88828,10264062288
Hungary,72.3,12717.0386,2925516290
Iceland,81.2,52951.68151,985803077.6
India,68.285,1590.173918,-22456838010
Indonesia,67.791,3322.581688,-17518744569
